country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
CO,,,,10.3,0.7,RE_PV_Openfield_Lim_[CO]
CO,,,,10.3,0.0,RE_PV_Rooftop_Lim_[CO]
CO,,,,10.3,4.4,RE_WIND_Onshore_Lim_[CO]
CO,,,,10.3,0.0,RE_WIND_Offshore_Lim_[CO]
CO,,,,10.3,0.6,PP_CO2_[CO]
CO,,,,10.3,0.4,BESS_[CO]
CO,,,,10.3,0.1,EL_to_HTH_[CO]
CO,,,,10.3,0.0,EL_to_NH3_[CO]
CO,,,,10.3,0.0,NH3_Storage_[CO]
CO,,,,10.3,0.0,NH3_to_EL_[CO]
CO,,,,10.3,0.0,NH3_to_HTH_[CO]
CO,,,,10.3,1.0,FF_to_HTH_[CO]
CO,,,,10.3,0.0,EL_Demand_[CO]
CO,,,,10.3,0.0,HTH_Demand_[CO]
CO,,,,5.2,0.5,RE_PV_Openfield_Lim_[CO]
CO,,,,5.2,0.0,RE_PV_Rooftop_Lim_[CO]
CO,,,,5.2,5.7,RE_WIND_Onshore_Lim_[CO]
CO,,,,5.2,0.0,RE_WIND_Offshore_Lim_[CO]
CO,,,,5.2,0.4,PP_CO2_[CO]
CO,,,,5.2,0.3,BESS_[CO]
CO,,,,5.2,0.1,EL_to_HTH_[CO]
CO,,,,5.2,0.0,EL_to_NH3_[CO]
CO,,,,5.2,0.0,NH3_Storage_[CO]
CO,,,,5.2,0.0,NH3_to_EL_[CO]
CO,,,,5.2,0.0,NH3_to_HTH_[CO]
CO,,,,5.2,0.6,FF_to_HTH_[CO]
CO,,,,5.2,0.0,EL_Demand_[CO]
CO,,,,5.2,0.0,HTH_Demand_[CO]
CO,,,,0.0,1.3,RE_PV_Openfield_Lim_[CO]
CO,,,,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
CO,,,,0.0,7.0,RE_WIND_Onshore_Lim_[CO]
CO,,,,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
CO,,,,0.0,0.0,PP_CO2_[CO]
CO,,,,0.0,0.4,BESS_[CO]
CO,,,,0.0,0.1,EL_to_HTH_[CO]
CO,,,,0.0,0.5,EL_to_NH3_[CO]
CO,,,,0.0,0.8,NH3_Storage_[CO]
CO,,,,0.0,0.1,NH3_to_EL_[CO]
CO,,,,0.0,0.0,NH3_to_HTH_[CO]
CO,,,,0.0,0.0,FF_to_HTH_[CO]
CO,,,,0.0,0.0,EL_Demand_[CO]
CO,,,,0.0,0.0,HTH_Demand_[CO]
CO,,,,1.9,0.8,RE_PV_Openfield_Lim_[CO]
CO,,,,1.9,0.0,RE_PV_Rooftop_Lim_[CO]
CO,,,,1.9,6.4,RE_WIND_Onshore_Lim_[CO]
CO,,,,1.9,0.0,RE_WIND_Offshore_Lim_[CO]
CO,,,,1.9,0.2,PP_CO2_[CO]
CO,,,,1.9,0.5,BESS_[CO]
CO,,,,1.9,0.1,EL_to_HTH_[CO]
CO,,,,1.9,0.1,EL_to_NH3_[CO]
CO,,,,1.9,0.3,NH3_Storage_[CO]
CO,,,,1.9,0.0,NH3_to_EL_[CO]
CO,,,,1.9,0.0,NH3_to_HTH_[CO]
CO,,,,1.9,0.2,FF_to_HTH_[CO]
CO,,,,1.9,0.0,EL_Demand_[CO]
CO,,,,1.9,0.0,HTH_Demand_[CO]
CO,,,,3.9,0.7,RE_PV_Openfield_Lim_[CO]
CO,,,,3.9,0.0,RE_PV_Rooftop_Lim_[CO]
CO,,,,3.9,6.0,RE_WIND_Onshore_Lim_[CO]
CO,,,,3.9,0.0,RE_WIND_Offshore_Lim_[CO]
CO,,,,3.9,0.2,PP_CO2_[CO]
CO,,,,3.9,0.5,BESS_[CO]
CO,,,,3.9,0.1,EL_to_HTH_[CO]
CO,,,,3.9,0.0,EL_to_NH3_[CO]
CO,,,,3.9,0.0,NH3_Storage_[CO]
CO,,,,3.9,0.0,NH3_to_EL_[CO]
CO,,,,3.9,0.0,NH3_to_HTH_[CO]
CO,,,,3.9,0.5,FF_to_HTH_[CO]
CO,,,,3.9,0.0,EL_Demand_[CO]
CO,,,,3.9,0.0,HTH_Demand_[CO]
CO,,,,5.8,0.5,RE_PV_Openfield_Lim_[CO]
CO,,,,5.8,0.0,RE_PV_Rooftop_Lim_[CO]
CO,,,,5.8,5.6,RE_WIND_Onshore_Lim_[CO]
CO,,,,5.8,0.0,RE_WIND_Offshore_Lim_[CO]
CO,,,,5.8,0.4,PP_CO2_[CO]
CO,,,,5.8,0.3,BESS_[CO]
CO,,,,5.8,0.1,EL_to_HTH_[CO]
CO,,,,5.8,0.0,EL_to_NH3_[CO]
CO,,,,5.8,0.0,NH3_Storage_[CO]
CO,,,,5.8,0.0,NH3_to_EL_[CO]
CO,,,,5.8,0.0,NH3_to_HTH_[CO]
CO,,,,5.8,0.6,FF_to_HTH_[CO]
CO,,,,5.8,0.0,EL_Demand_[CO]
CO,,,,5.8,0.0,HTH_Demand_[CO]
CO,,,,7.7,0.6,RE_PV_Openfield_Lim_[CO]
CO,,,,7.7,0.0,RE_PV_Rooftop_Lim_[CO]
CO,,,,7.7,5.1,RE_WIND_Onshore_Lim_[CO]
CO,,,,7.7,0.0,RE_WIND_Offshore_Lim_[CO]
CO,,,,7.7,0.5,PP_CO2_[CO]
CO,,,,7.7,0.3,BESS_[CO]
CO,,,,7.7,0.1,EL_to_HTH_[CO]
CO,,,,7.7,0.0,EL_to_NH3_[CO]
CO,,,,7.7,0.0,NH3_Storage_[CO]
CO,,,,7.7,0.0,NH3_to_EL_[CO]
CO,,,,7.7,0.0,NH3_to_HTH_[CO]
CO,,,,7.7,0.8,FF_to_HTH_[CO]
CO,,,,7.7,0.0,EL_Demand_[CO]
CO,,,,7.7,0.0,HTH_Demand_[CO]
CO,,,,9.6,0.7,RE_PV_Openfield_Lim_[CO]
CO,,,,9.6,0.0,RE_PV_Rooftop_Lim_[CO]
CO,,,,9.6,4.5,RE_WIND_Onshore_Lim_[CO]
CO,,,,9.6,0.0,RE_WIND_Offshore_Lim_[CO]
CO,,,,9.6,0.6,PP_CO2_[CO]
CO,,,,9.6,0.3,BESS_[CO]
CO,,,,9.6,0.1,EL_to_HTH_[CO]
CO,,,,9.6,0.0,EL_to_NH3_[CO]
