country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
MA,KE,,,9.4,0.0,0.0,RE_PV_Rooftop_Lim_[MA]
MA,KE,,,9.4,0.5,14.1,RE_PV_Openfield_Lim_[MA]
MA,KE,,,9.4,1.6,31.4,RE_WIND_Onshore_Lim_[MA]
MA,KE,,,9.4,0.0,0.0,RE_WIND_Offshore_Lim_[MA]
MA,KE,,,9.4,0.4,5.4,PP_CO2_[MA]
MA,KE,,,9.4,0.2,8.9,BESS_[MA]
MA,KE,,,9.4,0.1,7.6,EL_to_HTH_[MA]
MA,KE,,,9.4,0.1,1.0,EL_to_NH3_[MA]
MA,KE,,,9.4,0.1,7.0,NH3_Storage_[MA]
MA,KE,,,9.4,0.1,1.1,NH3_to_EL_[MA]
MA,KE,,,9.4,0.0,0.0,NH3_to_HTH_[MA]
MA,KE,,,9.4,0.4,7.6,FF_to_HTH_[MA]
MA,KE,,,9.4,0.0,18.0,EL_Demand_[MA]
MA,KE,,,9.4,0.0,7.8,HTH_Demand_[MA]
MA,KE,,,9.4,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
MA,KE,,,9.4,0.2,11.3,RE_PV_Openfield_Lim_[KE]
MA,KE,,,9.4,1.1,22.0,RE_WIND_Onshore_Lim_[KE]
MA,KE,,,9.4,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
MA,KE,,,9.4,0.5,6.9,PP_CO2_[KE]
MA,KE,,,9.4,0.1,7.8,BESS_[KE]
MA,KE,,,9.4,0.1,5.7,EL_to_HTH_[KE]
MA,KE,,,9.4,0.0,0.0,EL_to_NH3_[KE]
MA,KE,,,9.4,0.0,0.0,NH3_Storage_[KE]
MA,KE,,,9.4,0.0,0.0,NH3_to_EL_[KE]
MA,KE,,,9.4,0.0,0.0,NH3_to_HTH_[KE]
MA,KE,,,9.4,0.3,5.6,FF_to_HTH_[KE]
MA,KE,,,9.4,0.0,12.2,EL_Demand_[KE]
MA,KE,,,9.4,0.0,5.8,HTH_Demand_[KE]
MA,KE,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[MA]
MA,KE,,,0.0,0.6,18.6,RE_PV_Openfield_Lim_[MA]
MA,KE,,,0.0,2.5,48.8,RE_WIND_Onshore_Lim_[MA]
MA,KE,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[MA]
MA,KE,,,0.0,0.0,0.0,PP_CO2_[MA]
MA,KE,,,0.0,0.2,13.5,BESS_[MA]
MA,KE,,,0.0,0.1,7.4,EL_to_HTH_[MA]
MA,KE,,,0.0,0.4,6.7,EL_to_NH3_[MA]
MA,KE,,,0.0,0.7,40.5,NH3_Storage_[MA]
MA,KE,,,0.0,0.2,2.0,NH3_to_EL_[MA]
MA,KE,,,0.0,0.0,1.5,NH3_to_HTH_[MA]
MA,KE,,,0.0,0.0,0.0,FF_to_HTH_[MA]
MA,KE,,,0.0,0.0,18.0,EL_Demand_[MA]
MA,KE,,,0.0,0.0,7.8,HTH_Demand_[MA]
MA,KE,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
MA,KE,,,0.0,0.6,39.9,RE_PV_Openfield_Lim_[KE]
MA,KE,,,0.0,1.3,25.0,RE_WIND_Onshore_Lim_[KE]
MA,KE,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
MA,KE,,,0.0,0.0,0.0,PP_CO2_[KE]
MA,KE,,,0.0,0.8,46.9,BESS_[KE]
MA,KE,,,0.0,0.1,5.7,EL_to_HTH_[KE]
MA,KE,,,0.0,0.1,2.0,EL_to_NH3_[KE]
MA,KE,,,0.0,0.8,50.6,NH3_Storage_[KE]
MA,KE,,,0.0,0.0,0.6,NH3_to_EL_[KE]
MA,KE,,,0.0,0.0,1.1,NH3_to_HTH_[KE]
MA,KE,,,0.0,0.0,0.0,FF_to_HTH_[KE]
MA,KE,,,0.0,0.0,12.2,EL_Demand_[KE]
MA,KE,,,0.0,0.0,5.8,HTH_Demand_[KE]
MA,KE,,,1.6,0.0,0.0,RE_PV_Rooftop_Lim_[MA]
MA,KE,,,1.6,0.6,18.0,RE_PV_Openfield_Lim_[MA]
MA,KE,,,1.6,2.2,41.5,RE_WIND_Onshore_Lim_[MA]
MA,KE,,,1.6,0.0,0.0,RE_WIND_Offshore_Lim_[MA]
MA,KE,,,1.6,0.0,0.0,PP_CO2_[MA]
MA,KE,,,1.6,0.1,7.9,BESS_[MA]
MA,KE,,,1.6,0.1,7.7,EL_to_HTH_[MA]
MA,KE,,,1.6,0.2,4.3,EL_to_NH3_[MA]
MA,KE,,,1.6,0.5,31.4,NH3_Storage_[MA]
MA,KE,,,1.6,0.2,2.6,NH3_to_EL_[MA]
MA,KE,,,1.6,0.0,1.5,NH3_to_HTH_[MA]
MA,KE,,,1.6,0.1,4.9,FF_to_HTH_[MA]
MA,KE,,,1.6,0.0,18.0,EL_Demand_[MA]
MA,KE,,,1.6,0.0,7.8,HTH_Demand_[MA]
MA,KE,,,1.6,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
MA,KE,,,1.6,0.3,18.5,RE_PV_Openfield_Lim_[KE]
