country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,TH,VN,,130.8,0.8,RE_PV_Rooftop_Lim_[KR]
KR,TH,VN,,130.8,2.1,RE_PV_Openfield_Lim_[KR]
KR,TH,VN,,130.8,1.3,RE_WIND_Onshore_Lim_[KR]
KR,TH,VN,,130.8,11.7,RE_WIND_Offshore_Lim_[KR]
KR,TH,VN,,130.8,6.8,PP_CO2_[KR]
KR,TH,VN,,130.8,3.7,BESS_[KR]
KR,TH,VN,,130.8,0.3,EL_to_HTH_[KR]
KR,TH,VN,,130.8,0.0,EL_to_NH3_[KR]
KR,TH,VN,,130.8,0.0,NH3_Storage_[KR]
KR,TH,VN,,130.8,0.0,NH3_to_EL_[KR]
KR,TH,VN,,130.8,0.0,NH3_to_HTH_[KR]
KR,TH,VN,,130.8,2.5,FF_to_HTH_[KR]
KR,TH,VN,,130.8,0.0,EL_Demand_[KR]
KR,TH,VN,,130.8,0.0,HTH_Demand_[KR]
KR,TH,VN,,130.8,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,VN,,130.8,2.8,RE_PV_Openfield_Lim_[TH]
KR,TH,VN,,130.8,9.2,RE_WIND_Onshore_Lim_[TH]
KR,TH,VN,,130.8,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,VN,,130.8,1.5,PP_CO2_[TH]
KR,TH,VN,,130.8,1.3,BESS_[TH]
KR,TH,VN,,130.8,0.4,EL_to_HTH_[TH]
KR,TH,VN,,130.8,0.0,EL_to_NH3_[TH]
KR,TH,VN,,130.8,0.1,NH3_Storage_[TH]
KR,TH,VN,,130.8,0.1,NH3_to_EL_[TH]
KR,TH,VN,,130.8,0.0,NH3_to_HTH_[TH]
KR,TH,VN,,130.8,1.7,FF_to_HTH_[TH]
KR,TH,VN,,130.8,0.0,EL_Demand_[TH]
KR,TH,VN,,130.8,0.0,HTH_Demand_[TH]
KR,TH,VN,,130.8,0.0,RE_PV_Rooftop_Lim_[VN]
KR,TH,VN,,130.8,1.3,RE_PV_Openfield_Lim_[VN]
KR,TH,VN,,130.8,8.8,RE_WIND_Onshore_Lim_[VN]
KR,TH,VN,,130.8,1.7,RE_WIND_Offshore_Lim_[VN]
KR,TH,VN,,130.8,0.7,PP_CO2_[VN]
KR,TH,VN,,130.8,0.5,BESS_[VN]
KR,TH,VN,,130.8,0.5,EL_to_HTH_[VN]
KR,TH,VN,,130.8,0.2,EL_to_NH3_[VN]
KR,TH,VN,,130.8,0.6,NH3_Storage_[VN]
KR,TH,VN,,130.8,0.4,NH3_to_EL_[VN]
KR,TH,VN,,130.8,0.0,NH3_to_HTH_[VN]
KR,TH,VN,,130.8,1.9,FF_to_HTH_[VN]
KR,TH,VN,,130.8,0.0,EL_Demand_[VN]
KR,TH,VN,,130.8,0.0,HTH_Demand_[VN]
KR,TH,VN,,32.7,0.8,RE_PV_Rooftop_Lim_[KR]
KR,TH,VN,,32.7,2.1,RE_PV_Openfield_Lim_[KR]
KR,TH,VN,,32.7,1.3,RE_WIND_Onshore_Lim_[KR]
KR,TH,VN,,32.7,25.5,RE_WIND_Offshore_Lim_[KR]
KR,TH,VN,,32.7,0.7,PP_CO2_[KR]
KR,TH,VN,,32.7,7.4,BESS_[KR]
KR,TH,VN,,32.7,0.3,EL_to_HTH_[KR]
KR,TH,VN,,32.7,2.5,EL_to_NH3_[KR]
KR,TH,VN,,32.7,3.5,NH3_Storage_[KR]
KR,TH,VN,,32.7,0.7,NH3_to_EL_[KR]
KR,TH,VN,,32.7,0.0,NH3_to_HTH_[KR]
KR,TH,VN,,32.7,1.4,FF_to_HTH_[KR]
KR,TH,VN,,32.7,0.0,EL_Demand_[KR]
KR,TH,VN,,32.7,0.0,HTH_Demand_[KR]
KR,TH,VN,,32.7,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,VN,,32.7,3.6,RE_PV_Openfield_Lim_[TH]
KR,TH,VN,,32.7,10.7,RE_WIND_Onshore_Lim_[TH]
KR,TH,VN,,32.7,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,VN,,32.7,0.0,PP_CO2_[TH]
KR,TH,VN,,32.7,2.1,BESS_[TH]
KR,TH,VN,,32.7,0.4,EL_to_HTH_[TH]
KR,TH,VN,,32.7,0.6,EL_to_NH3_[TH]
KR,TH,VN,,32.7,1.7,NH3_Storage_[TH]
KR,TH,VN,,32.7,0.5,NH3_to_EL_[TH]
KR,TH,VN,,32.7,0.0,NH3_to_HTH_[TH]
KR,TH,VN,,32.7,0.9,FF_to_HTH_[TH]
KR,TH,VN,,32.7,0.0,EL_Demand_[TH]
KR,TH,VN,,32.7,0.0,HTH_Demand_[TH]
KR,TH,VN,,32.7,0.0,RE_PV_Rooftop_Lim_[VN]
KR,TH,VN,,32.7,2.3,RE_PV_Openfield_Lim_[VN]
