country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
BR,CO,,,47.7,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CO,,,47.7,5.1,RE_PV_Openfield_Lim_[BR]
BR,CO,,,47.7,22.5,RE_WIND_Onshore_Lim_[BR]
BR,CO,,,47.7,0.0,RE_WIND_Offshore_Lim_[BR]
BR,CO,,,47.7,3.2,PP_CO2_[BR]
BR,CO,,,47.7,1.0,BESS_[BR]
BR,CO,,,47.7,1.5,EL_to_HTH_[BR]
BR,CO,,,47.7,0.0,EL_to_NH3_[BR]
BR,CO,,,47.7,0.0,NH3_Storage_[BR]
BR,CO,,,47.7,0.0,NH3_to_EL_[BR]
BR,CO,,,47.7,0.0,NH3_to_HTH_[BR]
BR,CO,,,47.7,5.3,FF_to_HTH_[BR]
BR,CO,,,47.7,0.0,EL_Demand_[BR]
BR,CO,,,47.7,0.0,HTH_Demand_[BR]
BR,CO,,,47.7,0.0,RE_PV_Rooftop_Lim_[CO]
BR,CO,,,47.7,0.5,RE_PV_Openfield_Lim_[CO]
BR,CO,,,47.7,3.0,RE_WIND_Onshore_Lim_[CO]
BR,CO,,,47.7,0.0,RE_WIND_Offshore_Lim_[CO]
BR,CO,,,47.7,0.0,PP_CO2_[CO]
BR,CO,,,47.7,0.3,BESS_[CO]
BR,CO,,,47.7,0.1,EL_to_HTH_[CO]
BR,CO,,,47.7,0.0,EL_to_NH3_[CO]
BR,CO,,,47.7,0.0,NH3_Storage_[CO]
BR,CO,,,47.7,0.0,NH3_to_EL_[CO]
BR,CO,,,47.7,0.0,NH3_to_HTH_[CO]
BR,CO,,,47.7,0.5,FF_to_HTH_[CO]
BR,CO,,,47.7,0.0,EL_Demand_[CO]
BR,CO,,,47.7,0.0,HTH_Demand_[CO]
BR,CO,,,47.7,1.5,EL_Transport_[BR-CO]
BR,CO,,,47.7,0.0,NH3_Transport_[BR-CO]
BR,CO,,,11.9,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CO,,,11.9,6.6,RE_PV_Openfield_Lim_[BR]
BR,CO,,,11.9,25.4,RE_WIND_Onshore_Lim_[BR]
BR,CO,,,11.9,0.0,RE_WIND_Offshore_Lim_[BR]
BR,CO,,,11.9,5.4,PP_CO2_[BR]
BR,CO,,,11.9,0.5,BESS_[BR]
BR,CO,,,11.9,1.5,EL_to_HTH_[BR]
BR,CO,,,11.9,0.4,EL_to_NH3_[BR]
BR,CO,,,11.9,0.6,NH3_Storage_[BR]
BR,CO,,,11.9,0.0,NH3_to_EL_[BR]
BR,CO,,,11.9,0.1,NH3_to_HTH_[BR]
