country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
BN,KH,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[KH]
BN,KH,,,0.0,0.6,30.0,RE_PV_Openfield_Lim_[KH]
BN,KH,,,0.0,1.6,33.1,RE_WIND_Onshore_Lim_[KH]
BN,KH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[KH]
BN,KH,,,0.0,0.0,0.0,PP_CO2_[KH]
BN,KH,,,0.0,0.0,1.1,BESS_[KH]
BN,KH,,,0.0,0.1,11.1,EL_to_HTH_[KH]
BN,KH,,,0.0,0.3,4.8,EL_to_NH3_[KH]
BN,KH,,,0.0,1.2,69.1,NH3_Storage_[KH]
BN,KH,,,0.0,0.0,0.0,NH3_to_EL_[KH]
BN,KH,,,0.0,0.0,2.0,NH3_to_HTH_[KH]
BN,KH,,,0.0,0.0,0.0,FF_to_HTH_[KH]
BN,KH,,,0.0,0.0,2.8,EL_Demand_[KH]
BN,KH,,,0.0,0.0,11.5,HTH_Demand_[KH]
BN,KH,,,0.0,0.0,0.4,RE_PV_Rooftop_Lim_[BN]
BN,KH,,,0.0,0.1,5.0,RE_PV_Openfield_Lim_[BN]
BN,KH,,,0.0,0.0,0.3,RE_WIND_Onshore_Lim_[BN]
BN,KH,,,0.0,0.2,3.9,RE_WIND_Offshore_Lim_[BN]
BN,KH,,,0.0,0.0,0.0,PP_CO2_[BN]
BN,KH,,,0.0,0.2,12.2,BESS_[BN]
BN,KH,,,0.0,0.0,0.1,EL_to_HTH_[BN]
BN,KH,,,0.0,0.0,0.7,EL_to_NH3_[BN]
BN,KH,,,0.0,0.1,5.2,NH3_Storage_[BN]
BN,KH,,,0.0,0.0,0.1,NH3_to_EL_[BN]
BN,KH,,,0.0,0.0,0.0,NH3_to_HTH_[BN]
BN,KH,,,0.0,0.0,0.0,FF_to_HTH_[BN]
BN,KH,,,0.0,0.0,1.5,EL_Demand_[BN]
BN,KH,,,0.0,0.0,0.1,HTH_Demand_[BN]
BN,KH,,,1.3,0.0,0.0,RE_PV_Rooftop_Lim_[KH]
BN,KH,,,1.3,0.5,24.4,RE_PV_Openfield_Lim_[KH]
BN,KH,,,1.3,1.8,36.8,RE_WIND_Onshore_Lim_[KH]
BN,KH,,,1.3,0.0,0.0,RE_WIND_Offshore_Lim_[KH]
BN,KH,,,1.3,0.0,0.0,PP_CO2_[KH]
BN,KH,,,1.3,0.1,2.8,BESS_[KH]
BN,KH,,,1.3,0.1,11.2,EL_to_HTH_[KH]
BN,KH,,,1.3,0.2,2.7,EL_to_NH3_[KH]
BN,KH,,,1.3,0.2,13.0,NH3_Storage_[KH]
BN,KH,,,1.3,0.0,0.0,NH3_to_EL_[KH]
BN,KH,,,1.3,0.0,0.9,NH3_to_HTH_[KH]
BN,KH,,,1.3,0.2,6.2,FF_to_HTH_[KH]
BN,KH,,,1.3,0.0,2.8,EL_Demand_[KH]
BN,KH,,,1.3,0.0,11.5,HTH_Demand_[KH]
BN,KH,,,1.3,0.0,0.4,RE_PV_Rooftop_Lim_[BN]
BN,KH,,,1.3,0.1,5.0,RE_PV_Openfield_Lim_[BN]
BN,KH,,,1.3,0.0,0.3,RE_WIND_Onshore_Lim_[BN]
BN,KH,,,1.3,0.2,2.9,RE_WIND_Offshore_Lim_[BN]
BN,KH,,,1.3,0.0,0.1,PP_CO2_[BN]
BN,KH,,,1.3,0.2,12.0,BESS_[BN]
BN,KH,,,1.3,0.0,0.1,EL_to_HTH_[BN]
BN,KH,,,1.3,0.0,0.4,EL_to_NH3_[BN]
BN,KH,,,1.3,0.0,1.7,NH3_Storage_[BN]
BN,KH,,,1.3,0.0,0.0,NH3_to_EL_[BN]
BN,KH,,,1.3,0.0,0.0,NH3_to_HTH_[BN]
BN,KH,,,1.3,0.0,0.1,FF_to_HTH_[BN]
BN,KH,,,1.3,0.0,1.5,EL_Demand_[BN]
BN,KH,,,1.3,0.0,0.1,HTH_Demand_[BN]
BN,KH,,,2.7,0.0,0.0,RE_PV_Rooftop_Lim_[KH]
