country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
CL,,,,1.4,0.0,RE_PV_Openfield_Lim_[CL]
CL,,,,1.4,0.0,RE_PV_Rooftop_Lim_[CL]
CL,,,,1.4,1.7,RE_WIND_Onshore_Lim_[CL]
CL,,,,1.4,0.0,RE_WIND_Offshore_Lim_[CL]
CL,,,,1.4,0.1,PP_CO2_[CL]
CL,,,,1.4,0.0,BESS_[CL]
CL,,,,1.4,0.2,EL_to_HTH_[CL]
CL,,,,1.4,0.0,EL_to_NH3_[CL]
CL,,,,1.4,0.0,NH3_Storage_[CL]
CL,,,,1.4,0.0,NH3_to_EL_[CL]
CL,,,,1.4,0.0,NH3_to_HTH_[CL]
CL,,,,1.4,0.2,FF_to_HTH_[CL]
CL,,,,1.4,0.0,EL_Demand_[CL]
CL,,,,1.4,0.0,HTH_Demand_[CL]
CL,,,,0.6,0.0,RE_PV_Openfield_Lim_[CL]
CL,,,,0.6,0.0,RE_PV_Rooftop_Lim_[CL]
CL,,,,0.6,1.9,RE_WIND_Onshore_Lim_[CL]
CL,,,,0.6,0.0,RE_WIND_Offshore_Lim_[CL]
CL,,,,0.6,0.0,PP_CO2_[CL]
CL,,,,0.6,0.0,BESS_[CL]
CL,,,,0.6,0.1,EL_to_HTH_[CL]
CL,,,,0.6,0.0,EL_to_NH3_[CL]
CL,,,,0.6,0.1,NH3_Storage_[CL]
CL,,,,0.6,0.0,NH3_to_EL_[CL]
CL,,,,0.6,0.0,NH3_to_HTH_[CL]
CL,,,,0.6,0.1,FF_to_HTH_[CL]
CL,,,,0.6,0.0,EL_Demand_[CL]
CL,,,,0.6,0.0,HTH_Demand_[CL]
CL,,,,1.7,0.0,RE_PV_Openfield_Lim_[CL]
CL,,,,1.7,0.0,RE_PV_Rooftop_Lim_[CL]
CL,,,,1.7,1.7,RE_WIND_Onshore_Lim_[CL]
CL,,,,1.7,0.0,RE_WIND_Offshore_Lim_[CL]
CL,,,,1.7,0.1,PP_CO2_[CL]
CL,,,,1.7,0.0,BESS_[CL]
CL,,,,1.7,0.2,EL_to_HTH_[CL]
CL,,,,1.7,0.0,EL_to_NH3_[CL]
CL,,,,1.7,0.0,NH3_Storage_[CL]
CL,,,,1.7,0.0,NH3_to_EL_[CL]
CL,,,,1.7,0.0,NH3_to_HTH_[CL]
CL,,,,1.7,0.3,FF_to_HTH_[CL]
CL,,,,1.7,0.0,EL_Demand_[CL]
CL,,,,1.7,0.0,HTH_Demand_[CL]
CL,,,,0.0,0.0,RE_PV_Openfield_Lim_[CL]
CL,,,,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
CL,,,,0.0,2.2,RE_WIND_Onshore_Lim_[CL]
CL,,,,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
CL,,,,0.0,0.0,PP_CO2_[CL]
CL,,,,0.0,0.0,BESS_[CL]
CL,,,,0.0,0.1,EL_to_HTH_[CL]
CL,,,,0.0,0.1,EL_to_NH3_[CL]
CL,,,,0.0,0.4,NH3_Storage_[CL]
CL,,,,0.0,0.0,NH3_to_EL_[CL]
CL,,,,0.0,0.0,NH3_to_HTH_[CL]
CL,,,,0.0,0.0,FF_to_HTH_[CL]
CL,,,,0.0,0.0,EL_Demand_[CL]
CL,,,,0.0,0.0,HTH_Demand_[CL]
CL,,,,1.7,0.0,RE_PV_Openfield_Lim_[CL]
CL,,,,1.7,0.0,RE_PV_Rooftop_Lim_[CL]
CL,,,,1.7,1.7,RE_WIND_Onshore_Lim_[CL]
CL,,,,1.7,0.0,RE_WIND_Offshore_Lim_[CL]
CL,,,,1.7,0.1,PP_CO2_[CL]
CL,,,,1.7,0.0,BESS_[CL]
CL,,,,1.7,0.2,EL_to_HTH_[CL]
CL,,,,1.7,0.0,EL_to_NH3_[CL]
CL,,,,1.7,0.0,NH3_Storage_[CL]
CL,,,,1.7,0.0,NH3_to_EL_[CL]
CL,,,,1.7,0.0,NH3_to_HTH_[CL]
CL,,,,1.7,0.3,FF_to_HTH_[CL]
CL,,,,1.7,0.0,EL_Demand_[CL]
CL,,,,1.7,0.0,HTH_Demand_[CL]
CL,,,,1.7,0.0,RE_PV_Openfield_Lim_[CL]
CL,,,,1.7,0.0,RE_PV_Rooftop_Lim_[CL]
CL,,,,1.7,1.7,RE_WIND_Onshore_Lim_[CL]
CL,,,,1.7,0.0,RE_WIND_Offshore_Lim_[CL]
CL,,,,1.7,0.1,PP_CO2_[CL]
CL,,,,1.7,0.0,BESS_[CL]
CL,,,,1.7,0.2,EL_to_HTH_[CL]
CL,,,,1.7,0.0,EL_to_NH3_[CL]
CL,,,,1.7,0.0,NH3_Storage_[CL]
CL,,,,1.7,0.0,NH3_to_EL_[CL]
CL,,,,1.7,0.0,NH3_to_HTH_[CL]
CL,,,,1.7,0.3,FF_to_HTH_[CL]
CL,,,,1.7,0.0,EL_Demand_[CL]
CL,,,,1.7,0.0,HTH_Demand_[CL]
CL,,,,0.3,0.0,RE_PV_Openfield_Lim_[CL]
CL,,,,0.3,0.0,RE_PV_Rooftop_Lim_[CL]
CL,,,,0.3,2.1,RE_WIND_Onshore_Lim_[CL]
CL,,,,0.3,0.0,RE_WIND_Offshore_Lim_[CL]
CL,,,,0.3,0.0,PP_CO2_[CL]
CL,,,,0.3,0.0,BESS_[CL]
CL,,,,0.3,0.1,EL_to_HTH_[CL]
CL,,,,0.3,0.1,EL_to_NH3_[CL]
CL,,,,0.3,0.1,NH3_Storage_[CL]
CL,,,,0.3,0.0,NH3_to_EL_[CL]
CL,,,,0.3,0.0,NH3_to_HTH_[CL]
CL,,,,0.3,0.1,FF_to_HTH_[CL]
CL,,,,0.3,0.0,EL_Demand_[CL]
CL,,,,0.3,0.0,HTH_Demand_[CL]
CL,,,,1.7,0.0,RE_PV_Openfield_Lim_[CL]
CL,,,,1.7,0.0,RE_PV_Rooftop_Lim_[CL]
CL,,,,1.7,1.7,RE_WIND_Onshore_Lim_[CL]
CL,,,,1.7,0.0,RE_WIND_Offshore_Lim_[CL]
CL,,,,1.7,0.1,PP_CO2_[CL]
CL,,,,1.7,0.0,BESS_[CL]
CL,,,,1.7,0.2,EL_to_HTH_[CL]
CL,,,,1.7,0.0,EL_to_NH3_[CL]
CL,,,,1.7,0.0,NH3_Storage_[CL]
CL,,,,1.7,0.0,NH3_to_EL_[CL]
CL,,,,1.7,0.0,NH3_to_HTH_[CL]
CL,,,,1.7,0.3,FF_to_HTH_[CL]
CL,,,,1.7,0.0,EL_Demand_[CL]
CL,,,,1.7,0.0,HTH_Demand_[CL]
CL,,,,1.7,0.0,RE_PV_Openfield_Lim_[CL]
CL,,,,1.7,0.0,RE_PV_Rooftop_Lim_[CL]
CL,,,,1.7,1.7,RE_WIND_Onshore_Lim_[CL]
CL,,,,1.7,0.0,RE_WIND_Offshore_Lim_[CL]
CL,,,,1.7,0.1,PP_CO2_[CL]
CL,,,,1.7,0.0,BESS_[CL]
CL,,,,1.7,0.2,EL_to_HTH_[CL]
CL,,,,1.7,0.0,EL_to_NH3_[CL]
CL,,,,1.7,0.0,NH3_Storage_[CL]
CL,,,,1.7,0.0,NH3_to_EL_[CL]
CL,,,,1.7,0.0,NH3_to_HTH_[CL]
CL,,,,1.7,0.3,FF_to_HTH_[CL]
CL,,,,1.7,0.0,EL_Demand_[CL]
CL,,,,1.7,0.0,HTH_Demand_[CL]
CL,,,,0.8,0.0,RE_PV_Openfield_Lim_[CL]
CL,,,,0.8,0.0,RE_PV_Rooftop_Lim_[CL]
CL,,,,0.8,1.9,RE_WIND_Onshore_Lim_[CL]
CL,,,,0.8,0.0,RE_WIND_Offshore_Lim_[CL]
CL,,,,0.8,0.0,PP_CO2_[CL]
CL,,,,0.8,0.0,BESS_[CL]
CL,,,,0.8,0.1,EL_to_HTH_[CL]
CL,,,,0.8,0.0,EL_to_NH3_[CL]
CL,,,,0.8,0.0,NH3_Storage_[CL]
CL,,,,0.8,0.0,NH3_to_EL_[CL]
CL,,,,0.8,0.0,NH3_to_HTH_[CL]
CL,,,,0.8,0.2,FF_to_HTH_[CL]
CL,,,,0.8,0.0,EL_Demand_[CL]
CL,,,,0.8,0.0,HTH_Demand_[CL]
CL,,,,1.1,0.0,RE_PV_Openfield_Lim_[CL]
CL,,,,1.1,0.0,RE_PV_Rooftop_Lim_[CL]
CL,,,,1.1,1.8,RE_WIND_Onshore_Lim_[CL]
CL,,,,1.1,0.0,RE_WIND_Offshore_Lim_[CL]
CL,,,,1.1,0.0,PP_CO2_[CL]
CL,,,,1.1,0.0,BESS_[CL]
CL,,,,1.1,0.2,EL_to_HTH_[CL]
CL,,,,1.1,0.0,EL_to_NH3_[CL]
CL,,,,1.1,0.0,NH3_Storage_[CL]
CL,,,,1.1,0.0,NH3_to_EL_[CL]
CL,,,,1.1,0.0,NH3_to_HTH_[CL]
CL,,,,1.1,0.2,FF_to_HTH_[CL]
CL,,,,1.1,0.0,EL_Demand_[CL]
CL,,,,1.1,0.0,HTH_Demand_[CL]
