country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
MY,VN,LA,,163.2,0.0,NH3_to_HTH_[LA]
MY,VN,LA,,163.2,0.0,FF_to_HTH_[LA]
MY,VN,LA,,163.2,0.0,EL_Demand_[LA]
MY,VN,LA,,163.2,0.0,HTH_Demand_[LA]
MY,VN,LA,,181.3,0.0,RE_PV_Rooftop_Lim_[VN]
MY,VN,LA,,181.3,0.0,RE_PV_Openfield_Lim_[VN]
MY,VN,LA,,181.3,0.0,RE_WIND_Onshore_Lim_[VN]
MY,VN,LA,,181.3,6.1,RE_WIND_Offshore_Lim_[VN]
MY,VN,LA,,181.3,3.4,PP_CO2_[VN]
MY,VN,LA,,181.3,0.0,BESS_[VN]
MY,VN,LA,,181.3,0.5,EL_to_HTH_[VN]
MY,VN,LA,,181.3,0.0,EL_to_NH3_[VN]
MY,VN,LA,,181.3,0.0,NH3_Storage_[VN]
MY,VN,LA,,181.3,0.0,NH3_to_EL_[VN]
MY,VN,LA,,181.3,0.0,NH3_to_HTH_[VN]
MY,VN,LA,,181.3,3.7,FF_to_HTH_[VN]
MY,VN,LA,,181.3,0.0,EL_Demand_[VN]
MY,VN,LA,,181.3,0.0,HTH_Demand_[VN]
MY,VN,LA,,181.3,0.0,RE_PV_Rooftop_Lim_[MY]
MY,VN,LA,,181.3,1.3,RE_PV_Openfield_Lim_[MY]
MY,VN,LA,,181.3,0.9,RE_WIND_Onshore_Lim_[MY]
MY,VN,LA,,181.3,0.8,RE_WIND_Offshore_Lim_[MY]
MY,VN,LA,,181.3,4.5,PP_CO2_[MY]
MY,VN,LA,,181.3,0.0,BESS_[MY]
MY,VN,LA,,181.3,0.1,EL_to_HTH_[MY]
MY,VN,LA,,181.3,0.0,EL_to_NH3_[MY]
MY,VN,LA,,181.3,0.0,NH3_Storage_[MY]
MY,VN,LA,,181.3,0.0,NH3_to_EL_[MY]
MY,VN,LA,,181.3,0.0,NH3_to_HTH_[MY]
MY,VN,LA,,181.3,1.7,FF_to_HTH_[MY]
MY,VN,LA,,181.3,0.0,EL_Demand_[MY]
MY,VN,LA,,181.3,0.0,HTH_Demand_[MY]
MY,VN,LA,,181.3,0.0,RE_PV_Rooftop_Lim_[LA]
MY,VN,LA,,181.3,0.0,RE_PV_Openfield_Lim_[LA]
MY,VN,LA,,181.3,0.1,RE_WIND_Onshore_Lim_[LA]
MY,VN,LA,,181.3,0.0,RE_WIND_Offshore_Lim_[LA]
MY,VN,LA,,181.3,0.1,PP_CO2_[LA]
MY,VN,LA,,181.3,0.0,BESS_[LA]
MY,VN,LA,,181.3,0.0,EL_to_HTH_[LA]
MY,VN,LA,,181.3,0.0,EL_to_NH3_[LA]
MY,VN,LA,,181.3,0.0,NH3_Storage_[LA]
MY,VN,LA,,181.3,0.0,NH3_to_EL_[LA]
MY,VN,LA,,181.3,0.0,NH3_to_HTH_[LA]
MY,VN,LA,,181.3,0.0,FF_to_HTH_[LA]
MY,VN,LA,,181.3,0.0,EL_Demand_[LA]
MY,VN,LA,,181.3,0.0,HTH_Demand_[LA]
