country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KH,VN,LA,,76.8,0.5,EL_to_HTH_[VN]
KH,VN,LA,,76.8,0.0,EL_to_NH3_[VN]
KH,VN,LA,,76.8,0.0,NH3_Storage_[VN]
KH,VN,LA,,76.8,0.0,NH3_to_EL_[VN]
KH,VN,LA,,76.8,0.0,NH3_to_HTH_[VN]
KH,VN,LA,,76.8,3.3,FF_to_HTH_[VN]
KH,VN,LA,,76.8,0.0,EL_Demand_[VN]
KH,VN,LA,,76.8,0.0,HTH_Demand_[VN]
KH,VN,LA,,76.8,0.0,RE_PV_Rooftop_Lim_[LA]
KH,VN,LA,,76.8,0.1,RE_PV_Openfield_Lim_[LA]
KH,VN,LA,,76.8,0.1,RE_WIND_Onshore_Lim_[LA]
KH,VN,LA,,76.8,0.0,RE_WIND_Offshore_Lim_[LA]
KH,VN,LA,,76.8,0.1,PP_CO2_[LA]
KH,VN,LA,,76.8,0.0,BESS_[LA]
KH,VN,LA,,76.8,0.0,EL_to_HTH_[LA]
KH,VN,LA,,76.8,0.0,EL_to_NH3_[LA]
KH,VN,LA,,76.8,0.0,NH3_Storage_[LA]
KH,VN,LA,,76.8,0.0,NH3_to_EL_[LA]
KH,VN,LA,,76.8,0.0,NH3_to_HTH_[LA]
KH,VN,LA,,76.8,0.0,FF_to_HTH_[LA]
KH,VN,LA,,76.8,0.0,EL_Demand_[LA]
KH,VN,LA,,76.8,0.0,HTH_Demand_[LA]
KH,VN,LA,,76.8,0.0,RE_PV_Rooftop_Lim_[KH]
KH,VN,LA,,76.8,0.3,RE_PV_Openfield_Lim_[KH]
KH,VN,LA,,76.8,0.6,RE_WIND_Onshore_Lim_[KH]
KH,VN,LA,,76.8,0.0,RE_WIND_Offshore_Lim_[KH]
KH,VN,LA,,76.8,0.4,PP_CO2_[KH]
KH,VN,LA,,76.8,0.0,BESS_[KH]
KH,VN,LA,,76.8,0.1,EL_to_HTH_[KH]
KH,VN,LA,,76.8,0.0,EL_to_NH3_[KH]
KH,VN,LA,,76.8,0.0,NH3_Storage_[KH]
KH,VN,LA,,76.8,0.0,NH3_to_EL_[KH]
KH,VN,LA,,76.8,0.0,NH3_to_HTH_[KH]
KH,VN,LA,,76.8,1.0,FF_to_HTH_[KH]
KH,VN,LA,,76.8,0.0,EL_Demand_[KH]
KH,VN,LA,,76.8,0.0,HTH_Demand_[KH]
KH,VN,LA,,76.8,0.0,NH3_Transport_[VN-LA]
KH,VN,LA,,76.8,0.0,EL_Transport_[VN-LA]
KH,VN,LA,,76.8,0.0,NH3_Transport_[VN-KH]
KH,VN,LA,,76.8,0.1,EL_Transport_[VN-KH]
KH,VN,LA,,76.8,0.0,NH3_Transport_[LA-KH]
KH,VN,LA,,76.8,0.0,EL_Transport_[LA-KH]
KH,VN,LA,,38.4,0.0,RE_PV_Rooftop_Lim_[VN]
KH,VN,LA,,38.4,0.7,RE_PV_Openfield_Lim_[VN]
KH,VN,LA,,38.4,3.0,RE_WIND_Onshore_Lim_[VN]
KH,VN,LA,,38.4,5.8,RE_WIND_Offshore_Lim_[VN]
KH,VN,LA,,38.4,0.8,PP_CO2_[VN]
KH,VN,LA,,38.4,0.1,BESS_[VN]
KH,VN,LA,,38.4,0.5,EL_to_HTH_[VN]
KH,VN,LA,,38.4,0.0,EL_to_NH3_[VN]
KH,VN,LA,,38.4,0.0,NH3_Storage_[VN]
KH,VN,LA,,38.4,0.0,NH3_to_EL_[VN]
KH,VN,LA,,38.4,0.0,NH3_to_HTH_[VN]
KH,VN,LA,,38.4,2.4,FF_to_HTH_[VN]
KH,VN,LA,,38.4,0.0,EL_Demand_[VN]
KH,VN,LA,,38.4,0.0,HTH_Demand_[VN]
KH,VN,LA,,38.4,0.0,RE_PV_Rooftop_Lim_[LA]
KH,VN,LA,,38.4,0.1,RE_PV_Openfield_Lim_[LA]
KH,VN,LA,,38.4,0.0,RE_WIND_Onshore_Lim_[LA]
KH,VN,LA,,38.4,0.0,RE_WIND_Offshore_Lim_[LA]
KH,VN,LA,,38.4,0.1,PP_CO2_[LA]
KH,VN,LA,,38.4,0.0,BESS_[LA]
KH,VN,LA,,38.4,0.0,EL_to_HTH_[LA]
KH,VN,LA,,38.4,0.0,EL_to_NH3_[LA]
KH,VN,LA,,38.4,0.0,NH3_Storage_[LA]
KH,VN,LA,,38.4,0.0,NH3_to_EL_[LA]
KH,VN,LA,,38.4,0.0,NH3_to_HTH_[LA]
KH,VN,LA,,38.4,0.0,FF_to_HTH_[LA]
KH,VN,LA,,38.4,0.0,EL_Demand_[LA]
KH,VN,LA,,38.4,0.0,HTH_Demand_[LA]
KH,VN,LA,,38.4,0.0,RE_PV_Rooftop_Lim_[KH]
KH,VN,LA,,38.4,0.8,RE_PV_Openfield_Lim_[KH]
KH,VN,LA,,38.4,0.2,RE_WIND_Onshore_Lim_[KH]
KH,VN,LA,,38.4,0.0,RE_WIND_Offshore_Lim_[KH]
KH,VN,LA,,38.4,1.4,PP_CO2_[KH]
KH,VN,LA,,38.4,0.0,BESS_[KH]
KH,VN,LA,,38.4,0.1,EL_to_HTH_[KH]
KH,VN,LA,,38.4,0.0,EL_to_NH3_[KH]
KH,VN,LA,,38.4,0.0,NH3_Storage_[KH]
KH,VN,LA,,38.4,0.0,NH3_to_EL_[KH]
KH,VN,LA,,38.4,0.0,NH3_to_HTH_[KH]
KH,VN,LA,,38.4,0.7,FF_to_HTH_[KH]
KH,VN,LA,,38.4,0.0,EL_Demand_[KH]
KH,VN,LA,,38.4,0.0,HTH_Demand_[KH]
KH,VN,LA,,38.4,0.0,NH3_Transport_[VN-LA]
KH,VN,LA,,38.4,0.0,EL_Transport_[VN-LA]
KH,VN,LA,,38.4,0.0,NH3_Transport_[VN-KH]
KH,VN,LA,,38.4,0.3,EL_Transport_[VN-KH]
KH,VN,LA,,38.4,0.0,NH3_Transport_[LA-KH]
KH,VN,LA,,38.4,0.0,EL_Transport_[LA-KH]
KH,VN,LA,,59.2,0.0,RE_PV_Rooftop_Lim_[VN]
KH,VN,LA,,59.2,0.7,RE_PV_Openfield_Lim_[VN]
KH,VN,LA,,59.2,0.0,RE_WIND_Onshore_Lim_[VN]
KH,VN,LA,,59.2,7.1,RE_WIND_Offshore_Lim_[VN]
KH,VN,LA,,59.2,1.8,PP_CO2_[VN]
KH,VN,LA,,59.2,0.0,BESS_[VN]
KH,VN,LA,,59.2,0.5,EL_to_HTH_[VN]
KH,VN,LA,,59.2,0.0,EL_to_NH3_[VN]
KH,VN,LA,,59.2,0.0,NH3_Storage_[VN]
KH,VN,LA,,59.2,0.0,NH3_to_EL_[VN]
KH,VN,LA,,59.2,0.0,NH3_to_HTH_[VN]
KH,VN,LA,,59.2,2.9,FF_to_HTH_[VN]
KH,VN,LA,,59.2,0.0,EL_Demand_[VN]
KH,VN,LA,,59.2,0.0,HTH_Demand_[VN]
KH,VN,LA,,59.2,0.0,RE_PV_Rooftop_Lim_[LA]
KH,VN,LA,,59.2,0.1,RE_PV_Openfield_Lim_[LA]
KH,VN,LA,,59.2,0.1,RE_WIND_Onshore_Lim_[LA]
KH,VN,LA,,59.2,0.0,RE_WIND_Offshore_Lim_[LA]
KH,VN,LA,,59.2,0.2,PP_CO2_[LA]
KH,VN,LA,,59.2,0.0,BESS_[LA]
KH,VN,LA,,59.2,0.0,EL_to_HTH_[LA]
KH,VN,LA,,59.2,0.0,EL_to_NH3_[LA]
KH,VN,LA,,59.2,0.0,NH3_Storage_[LA]
KH,VN,LA,,59.2,0.0,NH3_to_EL_[LA]
KH,VN,LA,,59.2,0.0,NH3_to_HTH_[LA]
KH,VN,LA,,59.2,0.0,FF_to_HTH_[LA]
KH,VN,LA,,59.2,0.0,EL_Demand_[LA]
KH,VN,LA,,59.2,0.0,HTH_Demand_[LA]
KH,VN,LA,,59.2,0.0,RE_PV_Rooftop_Lim_[KH]
KH,VN,LA,,59.2,0.4,RE_PV_Openfield_Lim_[KH]
KH,VN,LA,,59.2,0.3,RE_WIND_Onshore_Lim_[KH]
KH,VN,LA,,59.2,0.0,RE_WIND_Offshore_Lim_[KH]
KH,VN,LA,,59.2,1.0,PP_CO2_[KH]
KH,VN,LA,,59.2,0.0,BESS_[KH]
KH,VN,LA,,59.2,0.1,EL_to_HTH_[KH]
KH,VN,LA,,59.2,0.0,EL_to_NH3_[KH]
KH,VN,LA,,59.2,0.0,NH3_Storage_[KH]
KH,VN,LA,,59.2,0.0,NH3_to_EL_[KH]
KH,VN,LA,,59.2,0.0,NH3_to_HTH_[KH]
KH,VN,LA,,59.2,0.9,FF_to_HTH_[KH]
KH,VN,LA,,59.2,0.0,EL_Demand_[KH]
KH,VN,LA,,59.2,0.0,HTH_Demand_[KH]
KH,VN,LA,,59.2,0.0,NH3_Transport_[VN-LA]
KH,VN,LA,,59.2,0.0,EL_Transport_[VN-LA]
KH,VN,LA,,59.2,0.0,NH3_Transport_[VN-KH]
KH,VN,LA,,59.2,0.2,EL_Transport_[VN-KH]
KH,VN,LA,,59.2,0.0,NH3_Transport_[LA-KH]
KH,VN,LA,,59.2,0.0,EL_Transport_[LA-KH]
KH,VN,LA,,82.9,0.0,RE_PV_Rooftop_Lim_[VN]
KH,VN,LA,,82.9,0.1,RE_PV_Openfield_Lim_[VN]
KH,VN,LA,,82.9,0.0,RE_WIND_Onshore_Lim_[VN]
KH,VN,LA,,82.9,6.5,RE_WIND_Offshore_Lim_[VN]
KH,VN,LA,,82.9,3.1,PP_CO2_[VN]
KH,VN,LA,,82.9,0.0,BESS_[VN]
KH,VN,LA,,82.9,0.5,EL_to_HTH_[VN]
KH,VN,LA,,82.9,0.0,EL_to_NH3_[VN]
KH,VN,LA,,82.9,0.0,NH3_Storage_[VN]
KH,VN,LA,,82.9,0.0,NH3_to_EL_[VN]
KH,VN,LA,,82.9,0.0,NH3_to_HTH_[VN]
KH,VN,LA,,82.9,3.4,FF_to_HTH_[VN]
KH,VN,LA,,82.9,0.0,EL_Demand_[VN]
KH,VN,LA,,82.9,0.0,HTH_Demand_[VN]
KH,VN,LA,,82.9,0.0,RE_PV_Rooftop_Lim_[LA]
KH,VN,LA,,82.9,0.1,RE_PV_Openfield_Lim_[LA]
KH,VN,LA,,82.9,0.1,RE_WIND_Onshore_Lim_[LA]
KH,VN,LA,,82.9,0.0,RE_WIND_Offshore_Lim_[LA]
KH,VN,LA,,82.9,0.1,PP_CO2_[LA]
KH,VN,LA,,82.9,0.0,BESS_[LA]
KH,VN,LA,,82.9,0.0,EL_to_HTH_[LA]
KH,VN,LA,,82.9,0.0,EL_to_NH3_[LA]
KH,VN,LA,,82.9,0.0,NH3_Storage_[LA]
KH,VN,LA,,82.9,0.0,NH3_to_EL_[LA]
KH,VN,LA,,82.9,0.0,NH3_to_HTH_[LA]
KH,VN,LA,,82.9,0.0,FF_to_HTH_[LA]
KH,VN,LA,,82.9,0.0,EL_Demand_[LA]
KH,VN,LA,,82.9,0.0,HTH_Demand_[LA]
KH,VN,LA,,82.9,0.0,RE_PV_Rooftop_Lim_[KH]
KH,VN,LA,,82.9,0.2,RE_PV_Openfield_Lim_[KH]
KH,VN,LA,,82.9,0.7,RE_WIND_Onshore_Lim_[KH]
KH,VN,LA,,82.9,0.0,RE_WIND_Offshore_Lim_[KH]
KH,VN,LA,,82.9,0.1,PP_CO2_[KH]
KH,VN,LA,,82.9,0.0,BESS_[KH]
KH,VN,LA,,82.9,0.1,EL_to_HTH_[KH]
KH,VN,LA,,82.9,0.0,EL_to_NH3_[KH]
KH,VN,LA,,82.9,0.0,NH3_Storage_[KH]
KH,VN,LA,,82.9,0.0,NH3_to_EL_[KH]
KH,VN,LA,,82.9,0.0,NH3_to_HTH_[KH]
KH,VN,LA,,82.9,1.0,FF_to_HTH_[KH]
KH,VN,LA,,82.9,0.0,EL_Demand_[KH]
KH,VN,LA,,82.9,0.0,HTH_Demand_[KH]
KH,VN,LA,,82.9,0.0,NH3_Transport_[VN-LA]
KH,VN,LA,,82.9,0.0,EL_Transport_[VN-LA]
KH,VN,LA,,82.9,0.0,NH3_Transport_[VN-KH]
KH,VN,LA,,82.9,0.1,EL_Transport_[VN-KH]
KH,VN,LA,,82.9,0.0,NH3_Transport_[LA-KH]
KH,VN,LA,,82.9,0.0,EL_Transport_[LA-KH]
KH,VN,LA,,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
KH,VN,LA,,0.0,3.0,RE_PV_Openfield_Lim_[VN]
KH,VN,LA,,0.0,10.0,RE_WIND_Onshore_Lim_[VN]
KH,VN,LA,,0.0,0.0,RE_WIND_Offshore_Lim_[VN]
KH,VN,LA,,0.0,0.0,PP_CO2_[VN]
KH,VN,LA,,0.0,1.1,BESS_[VN]
KH,VN,LA,,0.0,0.5,EL_to_HTH_[VN]
KH,VN,LA,,0.0,0.9,EL_to_NH3_[VN]
KH,VN,LA,,0.0,4.2,NH3_Storage_[VN]
KH,VN,LA,,0.0,0.3,NH3_to_EL_[VN]
KH,VN,LA,,0.0,0.1,NH3_to_HTH_[VN]
KH,VN,LA,,0.0,0.0,FF_to_HTH_[VN]
KH,VN,LA,,0.0,0.0,EL_Demand_[VN]
KH,VN,LA,,0.0,0.0,HTH_Demand_[VN]
KH,VN,LA,,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
KH,VN,LA,,0.0,0.1,RE_PV_Openfield_Lim_[LA]
KH,VN,LA,,0.0,0.1,RE_WIND_Onshore_Lim_[LA]
KH,VN,LA,,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
KH,VN,LA,,0.0,0.0,PP_CO2_[LA]
KH,VN,LA,,0.0,0.1,BESS_[LA]
KH,VN,LA,,0.0,0.0,EL_to_HTH_[LA]
KH,VN,LA,,0.0,0.0,EL_to_NH3_[LA]
KH,VN,LA,,0.0,0.1,NH3_Storage_[LA]
KH,VN,LA,,0.0,0.0,NH3_to_EL_[LA]
KH,VN,LA,,0.0,0.0,NH3_to_HTH_[LA]
KH,VN,LA,,0.0,0.0,FF_to_HTH_[LA]
KH,VN,LA,,0.0,0.0,EL_Demand_[LA]
KH,VN,LA,,0.0,0.0,HTH_Demand_[LA]
KH,VN,LA,,0.0,0.0,RE_PV_Rooftop_Lim_[KH]
KH,VN,LA,,0.0,0.2,RE_PV_Openfield_Lim_[KH]
KH,VN,LA,,0.0,3.6,RE_WIND_Onshore_Lim_[KH]
KH,VN,LA,,0.0,0.0,RE_WIND_Offshore_Lim_[KH]
KH,VN,LA,,0.0,0.0,PP_CO2_[KH]
KH,VN,LA,,0.0,0.1,BESS_[KH]
KH,VN,LA,,0.0,0.1,EL_to_HTH_[KH]
KH,VN,LA,,0.0,0.4,EL_to_NH3_[KH]
KH,VN,LA,,0.0,1.2,NH3_Storage_[KH]
KH,VN,LA,,0.0,0.1,NH3_to_EL_[KH]
KH,VN,LA,,0.0,0.0,NH3_to_HTH_[KH]
KH,VN,LA,,0.0,0.0,FF_to_HTH_[KH]
KH,VN,LA,,0.0,0.0,EL_Demand_[KH]
KH,VN,LA,,0.0,0.0,HTH_Demand_[KH]
KH,VN,LA,,0.0,0.0,NH3_Transport_[VN-LA]
KH,VN,LA,,0.0,0.0,EL_Transport_[VN-LA]
KH,VN,LA,,0.0,0.0,NH3_Transport_[VN-KH]
KH,VN,LA,,0.0,0.2,EL_Transport_[VN-KH]
KH,VN,LA,,0.0,0.0,NH3_Transport_[LA-KH]
KH,VN,LA,,0.0,0.0,EL_Transport_[LA-KH]
KH,VN,LA,,88.5,0.0,RE_PV_Rooftop_Lim_[VN]
KH,VN,LA,,88.5,0.0,RE_PV_Openfield_Lim_[VN]
KH,VN,LA,,88.5,0.0,RE_WIND_Onshore_Lim_[VN]
KH,VN,LA,,88.5,6.3,RE_WIND_Offshore_Lim_[VN]
KH,VN,LA,,88.5,3.3,PP_CO2_[VN]
KH,VN,LA,,88.5,0.0,BESS_[VN]
KH,VN,LA,,88.5,0.5,EL_to_HTH_[VN]
KH,VN,LA,,88.5,0.0,EL_to_NH3_[VN]
KH,VN,LA,,88.5,0.0,NH3_Storage_[VN]
KH,VN,LA,,88.5,0.0,NH3_to_EL_[VN]
KH,VN,LA,,88.5,0.0,NH3_to_HTH_[VN]
KH,VN,LA,,88.5,3.6,FF_to_HTH_[VN]
KH,VN,LA,,88.5,0.0,EL_Demand_[VN]
KH,VN,LA,,88.5,0.0,HTH_Demand_[VN]
KH,VN,LA,,88.5,0.0,RE_PV_Rooftop_Lim_[LA]
KH,VN,LA,,88.5,0.0,RE_PV_Openfield_Lim_[LA]
KH,VN,LA,,88.5,0.1,RE_WIND_Onshore_Lim_[LA]
KH,VN,LA,,88.5,0.0,RE_WIND_Offshore_Lim_[LA]
KH,VN,LA,,88.5,0.1,PP_CO2_[LA]
KH,VN,LA,,88.5,0.0,BESS_[LA]
KH,VN,LA,,88.5,0.0,EL_to_HTH_[LA]
KH,VN,LA,,88.5,0.0,EL_to_NH3_[LA]
KH,VN,LA,,88.5,0.0,NH3_Storage_[LA]
KH,VN,LA,,88.5,0.0,NH3_to_EL_[LA]
KH,VN,LA,,88.5,0.0,NH3_to_HTH_[LA]
KH,VN,LA,,88.5,0.0,FF_to_HTH_[LA]
KH,VN,LA,,88.5,0.0,EL_Demand_[LA]
KH,VN,LA,,88.5,0.0,HTH_Demand_[LA]
KH,VN,LA,,88.5,0.0,RE_PV_Rooftop_Lim_[KH]
KH,VN,LA,,88.5,0.2,RE_PV_Openfield_Lim_[KH]
KH,VN,LA,,88.5,0.7,RE_WIND_Onshore_Lim_[KH]
KH,VN,LA,,88.5,0.0,RE_WIND_Offshore_Lim_[KH]
KH,VN,LA,,88.5,0.0,PP_CO2_[KH]
KH,VN,LA,,88.5,0.0,BESS_[KH]
KH,VN,LA,,88.5,0.1,EL_to_HTH_[KH]
KH,VN,LA,,88.5,0.0,EL_to_NH3_[KH]
KH,VN,LA,,88.5,0.0,NH3_Storage_[KH]
KH,VN,LA,,88.5,0.0,NH3_to_EL_[KH]
KH,VN,LA,,88.5,0.0,NH3_to_HTH_[KH]
KH,VN,LA,,88.5,1.0,FF_to_HTH_[KH]
KH,VN,LA,,88.5,0.0,EL_Demand_[KH]
KH,VN,LA,,88.5,0.0,HTH_Demand_[KH]
KH,VN,LA,,88.5,0.0,NH3_Transport_[VN-LA]
KH,VN,LA,,88.5,0.0,EL_Transport_[VN-LA]
KH,VN,LA,,88.5,0.0,NH3_Transport_[VN-KH]
KH,VN,LA,,88.5,0.1,EL_Transport_[VN-KH]
KH,VN,LA,,88.5,0.0,NH3_Transport_[LA-KH]
KH,VN,LA,,88.5,0.0,EL_Transport_[LA-KH]
KH,VN,LA,,71.0,0.0,RE_PV_Rooftop_Lim_[VN]
KH,VN,LA,,71.0,0.4,RE_PV_Openfield_Lim_[VN]
KH,VN,LA,,71.0,0.0,RE_WIND_Onshore_Lim_[VN]
KH,VN,LA,,71.0,6.6,RE_WIND_Offshore_Lim_[VN]
KH,VN,LA,,71.0,2.5,PP_CO2_[VN]
KH,VN,LA,,71.0,0.0,BESS_[VN]
KH,VN,LA,,71.0,0.5,EL_to_HTH_[VN]
KH,VN,LA,,71.0,0.0,EL_to_NH3_[VN]
KH,VN,LA,,71.0,0.0,NH3_Storage_[VN]
KH,VN,LA,,71.0,0.0,NH3_to_EL_[VN]
KH,VN,LA,,71.0,0.0,NH3_to_HTH_[VN]
KH,VN,LA,,71.0,3.2,FF_to_HTH_[VN]
KH,VN,LA,,71.0,0.0,EL_Demand_[VN]
KH,VN,LA,,71.0,0.0,HTH_Demand_[VN]
KH,VN,LA,,71.0,0.0,RE_PV_Rooftop_Lim_[LA]
KH,VN,LA,,71.0,0.1,RE_PV_Openfield_Lim_[LA]
KH,VN,LA,,71.0,0.1,RE_WIND_Onshore_Lim_[LA]
KH,VN,LA,,71.0,0.0,RE_WIND_Offshore_Lim_[LA]
KH,VN,LA,,71.0,0.1,PP_CO2_[LA]
KH,VN,LA,,71.0,0.0,BESS_[LA]
KH,VN,LA,,71.0,0.0,EL_to_HTH_[LA]
KH,VN,LA,,71.0,0.0,EL_to_NH3_[LA]
KH,VN,LA,,71.0,0.0,NH3_Storage_[LA]
KH,VN,LA,,71.0,0.0,NH3_to_EL_[LA]
KH,VN,LA,,71.0,0.0,NH3_to_HTH_[LA]
KH,VN,LA,,71.0,0.0,FF_to_HTH_[LA]
KH,VN,LA,,71.0,0.0,EL_Demand_[LA]
KH,VN,LA,,71.0,0.0,HTH_Demand_[LA]
KH,VN,LA,,71.0,0.0,RE_PV_Rooftop_Lim_[KH]
KH,VN,LA,,71.0,0.3,RE_PV_Openfield_Lim_[KH]
KH,VN,LA,,71.0,0.5,RE_WIND_Onshore_Lim_[KH]
KH,VN,LA,,71.0,0.0,RE_WIND_Offshore_Lim_[KH]
KH,VN,LA,,71.0,0.5,PP_CO2_[KH]
KH,VN,LA,,71.0,0.0,BESS_[KH]
