Type,sizing_constant,sizing_constant_unit,usage_constant_1,usage_constant_1_unit,usage_constant_2,usage_constant_2_unit,lifespan,lifespan_units,CO2_emissions_factor,CO2_emissions_factor_unit,
0,1.352,G$/GWp,2.77778E-05,G$/GWh,0,G$/(GWh^2),262800,h,94.6,GgCO2e/GWh,SGP
1,1.352,G$/GWp,2.77778E-05,G$/GWh,0,G$/(GWh^2),262800,h,94.6,GgCO2e/GWh,IDN
2,1.352,G$/GWp,0.000277778,G$/GWh,0,G$/(GWh^2),262800,h,94.6,GgCO2e/GWh,MYS
3,1,G$/GWp,1.00E-04,G$/GWh,0,G$/(GWh^2),262800,h,94.6,GgCO2e/GWh,BRN
4,1,G$/GWp,1.00E-04,G$/GWh,0,G$/(GWh^2),262800,h,94.6,GgCO2e/GWh,KHM
5,1,G$/GWp,1.00E-04,G$/GWh,0,G$/(GWh^2),262800,h,94.6,GgCO2e/GWh,MMR
6,1,G$/GWp,1.00E-04,G$/GWh,0,G$/(GWh^2),262800,h,94.6,GgCO2e/GWh,PHL
7,1,G$/GWp,1.00E-04,G$/GWh,0,G$/(GWh^2),262800,h,94.6,GgCO2e/GWh,THA
8,1,G$/GWp,1.00E-04,G$/GWh,0,G$/(GWh^2),262800,h,94.6,GgCO2e/GWh,VNM
9,1,G$/GWp,1.00E-04,G$/GWh,0,G$/(GWh^2),262800,h,94.6,GgCO2e/GWh,LAO
