country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,ID,BN,,30.1,1.3,EL_to_HTH_[ID]
SG,ID,BN,,30.1,0.4,EL_to_NH3_[ID]
SG,ID,BN,,30.1,0.7,NH3_Storage_[ID]
SG,ID,BN,,30.1,0.2,NH3_to_EL_[ID]
SG,ID,BN,,30.1,0.0,NH3_to_HTH_[ID]
SG,ID,BN,,30.1,3.7,FF_to_HTH_[ID]
SG,ID,BN,,30.1,0.0,EL_Demand_[ID]
SG,ID,BN,,30.1,0.0,HTH_Demand_[ID]
SG,ID,BN,,30.1,0.0,NH3_Transport_[BN-SG]
SG,ID,BN,,30.1,0.0,EL_Transport_[BN-SG]
SG,ID,BN,,30.1,0.0,NH3_Transport_[BN-ID]
SG,ID,BN,,30.1,0.0,EL_Transport_[BN-ID]
SG,ID,BN,,30.1,0.0,NH3_Transport_[SG-ID]
SG,ID,BN,,30.1,0.7,EL_Transport_[SG-ID]
SG,ID,BN,,164.0,0.0,RE_PV_Rooftop_Lim_[BN]
SG,ID,BN,,164.0,0.1,RE_PV_Openfield_Lim_[BN]
SG,ID,BN,,164.0,0.0,RE_WIND_Onshore_Lim_[BN]
SG,ID,BN,,164.0,0.0,RE_WIND_Offshore_Lim_[BN]
SG,ID,BN,,164.0,0.0,PP_CO2_[BN]
SG,ID,BN,,164.0,0.0,BESS_[BN]
SG,ID,BN,,164.0,0.0,EL_to_HTH_[BN]
SG,ID,BN,,164.0,0.0,EL_to_NH3_[BN]
SG,ID,BN,,164.0,0.0,NH3_Storage_[BN]
SG,ID,BN,,164.0,0.0,NH3_to_EL_[BN]
SG,ID,BN,,164.0,0.0,NH3_to_HTH_[BN]
SG,ID,BN,,164.0,0.0,FF_to_HTH_[BN]
SG,ID,BN,,164.0,0.0,EL_Demand_[BN]
SG,ID,BN,,164.0,0.0,HTH_Demand_[BN]
SG,ID,BN,,164.0,0.0,RE_PV_Rooftop_Lim_[SG]
SG,ID,BN,,164.0,0.0,RE_PV_Openfield_Lim_[SG]
SG,ID,BN,,164.0,0.0,RE_WIND_Onshore_Lim_[SG]
SG,ID,BN,,164.0,0.0,RE_WIND_Offshore_Lim_[SG]
SG,ID,BN,,164.0,0.0,PP_CO2_[SG]
SG,ID,BN,,164.0,0.0,BESS_[SG]
SG,ID,BN,,164.0,0.0,EL_to_HTH_[SG]
SG,ID,BN,,164.0,0.0,EL_to_NH3_[SG]
SG,ID,BN,,164.0,0.0,NH3_Storage_[SG]
SG,ID,BN,,164.0,0.0,NH3_to_EL_[SG]
SG,ID,BN,,164.0,0.0,NH3_to_HTH_[SG]
SG,ID,BN,,164.0,0.6,FF_to_HTH_[SG]
SG,ID,BN,,164.0,0.0,EL_Demand_[SG]
SG,ID,BN,,164.0,0.0,HTH_Demand_[SG]
SG,ID,BN,,164.0,0.0,RE_PV_Rooftop_Lim_[ID]
SG,ID,BN,,164.0,4.4,RE_PV_Openfield_Lim_[ID]
SG,ID,BN,,164.0,4.2,RE_WIND_Onshore_Lim_[ID]
SG,ID,BN,,164.0,15.6,RE_WIND_Offshore_Lim_[ID]
SG,ID,BN,,164.0,7.0,PP_CO2_[ID]
SG,ID,BN,,164.0,0.0,BESS_[ID]
SG,ID,BN,,164.0,1.3,EL_to_HTH_[ID]
SG,ID,BN,,164.0,0.0,EL_to_NH3_[ID]
SG,ID,BN,,164.0,0.0,NH3_Storage_[ID]
SG,ID,BN,,164.0,0.0,NH3_to_EL_[ID]
SG,ID,BN,,164.0,0.0,NH3_to_HTH_[ID]
SG,ID,BN,,164.0,10.1,FF_to_HTH_[ID]
SG,ID,BN,,164.0,0.0,EL_Demand_[ID]
SG,ID,BN,,164.0,0.0,HTH_Demand_[ID]
SG,ID,BN,,164.0,0.0,NH3_Transport_[BN-SG]
SG,ID,BN,,164.0,0.0,EL_Transport_[BN-SG]
SG,ID,BN,,164.0,0.0,NH3_Transport_[BN-ID]
SG,ID,BN,,164.0,0.0,EL_Transport_[BN-ID]
SG,ID,BN,,164.0,0.0,NH3_Transport_[SG-ID]
SG,ID,BN,,164.0,0.5,EL_Transport_[SG-ID]
SG,ID,BN,,82.0,0.0,RE_PV_Rooftop_Lim_[BN]
SG,ID,BN,,82.0,0.1,RE_PV_Openfield_Lim_[BN]
SG,ID,BN,,82.0,0.0,RE_WIND_Onshore_Lim_[BN]
SG,ID,BN,,82.0,0.0,RE_WIND_Offshore_Lim_[BN]
SG,ID,BN,,82.0,0.0,PP_CO2_[BN]
SG,ID,BN,,82.0,0.1,BESS_[BN]
SG,ID,BN,,82.0,0.0,EL_to_HTH_[BN]
SG,ID,BN,,82.0,0.0,EL_to_NH3_[BN]
SG,ID,BN,,82.0,0.0,NH3_Storage_[BN]
SG,ID,BN,,82.0,0.0,NH3_to_EL_[BN]
SG,ID,BN,,82.0,0.0,NH3_to_HTH_[BN]
SG,ID,BN,,82.0,0.0,FF_to_HTH_[BN]
SG,ID,BN,,82.0,0.0,EL_Demand_[BN]
SG,ID,BN,,82.0,0.0,HTH_Demand_[BN]
SG,ID,BN,,82.0,0.0,RE_PV_Rooftop_Lim_[SG]
SG,ID,BN,,82.0,0.0,RE_PV_Openfield_Lim_[SG]
SG,ID,BN,,82.0,0.0,RE_WIND_Onshore_Lim_[SG]
SG,ID,BN,,82.0,0.0,RE_WIND_Offshore_Lim_[SG]
SG,ID,BN,,82.0,0.7,PP_CO2_[SG]
SG,ID,BN,,82.0,0.1,BESS_[SG]
SG,ID,BN,,82.0,0.1,EL_to_HTH_[SG]
SG,ID,BN,,82.0,0.0,EL_to_NH3_[SG]
SG,ID,BN,,82.0,0.0,NH3_Storage_[SG]
SG,ID,BN,,82.0,0.0,NH3_to_EL_[SG]
SG,ID,BN,,82.0,0.0,NH3_to_HTH_[SG]
SG,ID,BN,,82.0,0.5,FF_to_HTH_[SG]
SG,ID,BN,,82.0,0.0,EL_Demand_[SG]
SG,ID,BN,,82.0,0.0,HTH_Demand_[SG]
SG,ID,BN,,82.0,0.0,RE_PV_Rooftop_Lim_[ID]
SG,ID,BN,,82.0,4.5,RE_PV_Openfield_Lim_[ID]
SG,ID,BN,,82.0,19.8,RE_WIND_Onshore_Lim_[ID]
SG,ID,BN,,82.0,9.6,RE_WIND_Offshore_Lim_[ID]
