country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,ID,PH,,255.5,0.8,RE_PV_Rooftop_Lim_[KR]
KR,ID,PH,,255.5,2.1,RE_PV_Openfield_Lim_[KR]
KR,ID,PH,,255.5,0.9,RE_WIND_Onshore_Lim_[KR]
KR,ID,PH,,255.5,0.0,RE_WIND_Offshore_Lim_[KR]
KR,ID,PH,,255.5,9.0,PP_CO2_[KR]
KR,ID,PH,,255.5,0.5,BESS_[KR]
KR,ID,PH,,255.5,0.3,EL_to_HTH_[KR]
KR,ID,PH,,255.5,0.0,EL_to_NH3_[KR]
KR,ID,PH,,255.5,0.0,NH3_Storage_[KR]
KR,ID,PH,,255.5,0.0,NH3_to_EL_[KR]
KR,ID,PH,,255.5,0.0,NH3_to_HTH_[KR]
KR,ID,PH,,255.5,2.9,FF_to_HTH_[KR]
KR,ID,PH,,255.5,0.0,EL_Demand_[KR]
KR,ID,PH,,255.5,0.0,HTH_Demand_[KR]
KR,ID,PH,,255.5,0.0,RE_PV_Rooftop_Lim_[ID]
KR,ID,PH,,255.5,3.5,RE_PV_Openfield_Lim_[ID]
KR,ID,PH,,255.5,5.8,RE_WIND_Onshore_Lim_[ID]
KR,ID,PH,,255.5,14.5,RE_WIND_Offshore_Lim_[ID]
KR,ID,PH,,255.5,4.8,PP_CO2_[ID]
KR,ID,PH,,255.5,0.0,BESS_[ID]
KR,ID,PH,,255.5,1.3,EL_to_HTH_[ID]
KR,ID,PH,,255.5,0.0,EL_to_NH3_[ID]
KR,ID,PH,,255.5,0.0,NH3_Storage_[ID]
KR,ID,PH,,255.5,0.0,NH3_to_EL_[ID]
KR,ID,PH,,255.5,0.0,NH3_to_HTH_[ID]
KR,ID,PH,,255.5,10.0,FF_to_HTH_[ID]
KR,ID,PH,,255.5,0.0,EL_Demand_[ID]
KR,ID,PH,,255.5,0.0,HTH_Demand_[ID]
KR,ID,PH,,255.5,0.0,RE_PV_Rooftop_Lim_[PH]
KR,ID,PH,,255.5,0.0,RE_PV_Openfield_Lim_[PH]
KR,ID,PH,,255.5,1.4,RE_WIND_Onshore_Lim_[PH]
KR,ID,PH,,255.5,6.6,RE_WIND_Offshore_Lim_[PH]
KR,ID,PH,,255.5,0.0,PP_CO2_[PH]
KR,ID,PH,,255.5,0.0,BESS_[PH]
KR,ID,PH,,255.5,0.1,EL_to_HTH_[PH]
KR,ID,PH,,255.5,0.0,EL_to_NH3_[PH]
KR,ID,PH,,255.5,0.0,NH3_Storage_[PH]
KR,ID,PH,,255.5,0.0,NH3_to_EL_[PH]
KR,ID,PH,,255.5,0.0,NH3_to_HTH_[PH]
KR,ID,PH,,255.5,1.0,FF_to_HTH_[PH]
KR,ID,PH,,255.5,0.0,EL_Demand_[PH]
KR,ID,PH,,255.5,0.0,HTH_Demand_[PH]
KR,ID,PH,,255.5,0.0,NH3_Transport_[KR-ID]
KR,ID,PH,,255.5,0.0,EL_Transport_[KR-ID]
KR,ID,PH,,255.5,0.0,NH3_Transport_[KR-PH]
KR,ID,PH,,255.5,4.5,EL_Transport_[KR-PH]
KR,ID,PH,,255.5,0.0,NH3_Transport_[ID-PH]
KR,ID,PH,,255.5,2.0,EL_Transport_[ID-PH]
KR,ID,PH,,127.8,0.8,RE_PV_Rooftop_Lim_[KR]
KR,ID,PH,,127.8,2.1,RE_PV_Openfield_Lim_[KR]
KR,ID,PH,,127.8,0.9,RE_WIND_Onshore_Lim_[KR]
KR,ID,PH,,127.8,0.0,RE_WIND_Offshore_Lim_[KR]
KR,ID,PH,,127.8,3.9,PP_CO2_[KR]
KR,ID,PH,,127.8,2.4,BESS_[KR]
KR,ID,PH,,127.8,0.3,EL_to_HTH_[KR]
KR,ID,PH,,127.8,0.0,EL_to_NH3_[KR]
KR,ID,PH,,127.8,0.0,NH3_Storage_[KR]
