country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
TH,,,,65.9,1.6,RE_PV_Openfield_Lim_[TH]
TH,,,,65.9,0.0,RE_PV_Rooftop_Lim_[TH]
TH,,,,65.9,5.9,RE_WIND_Onshore_Lim_[TH]
TH,,,,65.9,0.0,RE_WIND_Offshore_Lim_[TH]
TH,,,,65.9,4.0,PP_CO2_[TH]
TH,,,,65.9,0.1,BESS_[TH]
TH,,,,65.9,0.4,EL_to_HTH_[TH]
TH,,,,65.9,0.0,EL_to_NH3_[TH]
TH,,,,65.9,0.0,NH3_Storage_[TH]
TH,,,,65.9,0.0,NH3_to_EL_[TH]
TH,,,,65.9,0.0,NH3_to_HTH_[TH]
TH,,,,65.9,3.4,FF_to_HTH_[TH]
TH,,,,65.9,0.0,EL_Demand_[TH]
TH,,,,65.9,0.0,HTH_Demand_[TH]
LA,,,,2.0,0.0,RE_PV_Openfield_Lim_[LA]
LA,,,,2.0,0.0,RE_PV_Rooftop_Lim_[LA]
LA,,,,2.0,0.1,RE_WIND_Onshore_Lim_[LA]
LA,,,,2.0,0.0,RE_WIND_Offshore_Lim_[LA]
LA,,,,2.0,0.1,PP_CO2_[LA]
LA,,,,2.0,0.0,BESS_[LA]
LA,,,,2.0,0.0,EL_to_HTH_[LA]
LA,,,,2.0,0.0,EL_to_NH3_[LA]
LA,,,,2.0,0.0,NH3_Storage_[LA]
LA,,,,2.0,0.0,NH3_to_EL_[LA]
LA,,,,2.0,0.0,NH3_to_HTH_[LA]
LA,,,,2.0,0.0,FF_to_HTH_[LA]
LA,,,,2.0,0.0,EL_Demand_[LA]
LA,,,,2.0,0.0,HTH_Demand_[LA]
CL,,,,1.7,0.0,RE_PV_Openfield_Lim_[CL]
CL,,,,1.7,0.0,RE_PV_Rooftop_Lim_[CL]
CL,,,,1.7,1.7,RE_WIND_Onshore_Lim_[CL]
CL,,,,1.7,0.0,RE_WIND_Offshore_Lim_[CL]
CL,,,,1.7,0.1,PP_CO2_[CL]
CL,,,,1.7,0.0,BESS_[CL]
CL,,,,1.7,0.2,EL_to_HTH_[CL]
CL,,,,1.7,0.0,EL_to_NH3_[CL]
CL,,,,1.7,0.0,NH3_Storage_[CL]
CL,,,,1.7,0.0,NH3_to_EL_[CL]
CL,,,,1.7,0.0,NH3_to_HTH_[CL]
CL,,,,1.7,0.3,FF_to_HTH_[CL]
CL,,,,1.7,0.0,EL_Demand_[CL]
CL,,,,1.7,0.0,HTH_Demand_[CL]
EG,,,,26.1,1.2,RE_PV_Openfield_Lim_[EG]
EG,,,,26.1,0.0,RE_PV_Rooftop_Lim_[EG]
EG,,,,26.1,6.3,RE_WIND_Onshore_Lim_[EG]
EG,,,,26.1,0.0,RE_WIND_Offshore_Lim_[EG]
EG,,,,26.1,1.9,PP_CO2_[EG]
EG,,,,26.1,0.3,BESS_[EG]
EG,,,,26.1,0.4,EL_to_HTH_[EG]
EG,,,,26.1,0.0,EL_to_NH3_[EG]
EG,,,,26.1,0.0,NH3_Storage_[EG]
EG,,,,26.1,0.0,NH3_to_EL_[EG]
EG,,,,26.1,0.0,NH3_to_HTH_[EG]
EG,,,,26.1,2.3,FF_to_HTH_[EG]
EG,,,,26.1,0.0,EL_Demand_[EG]
EG,,,,26.1,0.0,HTH_Demand_[EG]
ID,,,,198.6,3.0,RE_PV_Openfield_Lim_[ID]
ID,,,,198.6,0.0,RE_PV_Rooftop_Lim_[ID]
ID,,,,198.6,0.0,RE_WIND_Onshore_Lim_[ID]
ID,,,,198.6,15.7,RE_WIND_Offshore_Lim_[ID]
ID,,,,198.6,8.2,PP_CO2_[ID]
ID,,,,198.6,0.0,BESS_[ID]
ID,,,,198.6,1.2,EL_to_HTH_[ID]
ID,,,,198.6,0.0,EL_to_NH3_[ID]
ID,,,,198.6,0.0,NH3_Storage_[ID]
ID,,,,198.6,0.1,NH3_to_EL_[ID]
ID,,,,198.6,0.0,NH3_to_HTH_[ID]
ID,,,,198.6,11.9,FF_to_HTH_[ID]
ID,,,,198.6,0.0,EL_Demand_[ID]
ID,,,,198.6,0.0,HTH_Demand_[ID]
BR,,,,51.2,3.8,RE_PV_Openfield_Lim_[BR]
BR,,,,51.2,0.0,RE_PV_Rooftop_Lim_[BR]
BR,,,,51.2,17.2,RE_WIND_Onshore_Lim_[BR]
BR,,,,51.2,0.0,RE_WIND_Offshore_Lim_[BR]
BR,,,,51.2,4.9,PP_CO2_[BR]
BR,,,,51.2,0.3,BESS_[BR]
BR,,,,51.2,1.5,EL_to_HTH_[BR]
BR,,,,51.2,0.0,EL_to_NH3_[BR]
BR,,,,51.2,0.0,NH3_Storage_[BR]
BR,,,,51.2,0.0,NH3_to_EL_[BR]
BR,,,,51.2,0.0,NH3_to_HTH_[BR]
BR,,,,51.2,6.0,FF_to_HTH_[BR]
BR,,,,51.2,0.0,EL_Demand_[BR]
BR,,,,51.2,0.0,HTH_Demand_[BR]
KH,,,,9.0,0.1,RE_PV_Openfield_Lim_[KH]
KH,,,,9.0,0.0,RE_PV_Rooftop_Lim_[KH]
KH,,,,9.0,0.7,RE_WIND_Onshore_Lim_[KH]
KH,,,,9.0,0.0,RE_WIND_Offshore_Lim_[KH]
KH,,,,9.0,0.0,PP_CO2_[KH]
